Trade #,Type,Date and time,Price,Qty,Net PnL,Net PnL %,Favorable excursion USD,Adverse excursion USD,Cumulative PnL
122,Entry long,2026-01-12 14:15,3064.070000,1,39.380000,1.2852,81.860000,-2.720000,-535.210000
121,Exit long,2026-01-08 03:30,3138.960000,1,-68.950000,-2.1494,20.090000,-84.900000,-574.590000
121,Entry long,2026-01-07 09:30,3207.910000,1,-68.950000,-2.1494,20.090000,-84.900000,-574.590000
120,Exit long,2025-12-26 14:45,2916.380000,1,-4.010000,-0.1373,0.000000,-12.250000,-505.640000
120,Entry long,2025-12-26 14:45,2920.390000,1,-4.010000,-0.1373,0.000000,-12.250000,-505.640000
119,Exit long,2025-12-23 02:45,2990.020000,1,-0.170000,-0.0057,44.810000,-29.190000,-501.630000
119,Entry long,2025-12-22 19:15,2990.190000,1,-0.170000,-0.0057,44.810000,-29.190000,-501.630000
118,Exit long,2025-12-19 17:45,2938.230000,1,157.790000,5.6750,237.550000,-7.470000,-501.460000
118,Entry long,2025-12-18 19:45,2780.440000,1,157.790000,5.6750,237.550000,-7.470000,-501.460000
117,Exit long,2025-12-17 16:00,2876.270000,1,-8.100000,-0.2808,145.630000,-8.270000,-659.250000
117,Entry long,2025-12-17 14:45,2884.370000,1,-8.100000,-0.2808,145.630000,-8.270000,-659.250000
116,Exit long,2025-12-16 17:15,2930.010000,1,34.950000,1.2072,79.640000,-9.600000,-651.150000
116,Entry long,2025-12-16 14:00,2895.060000,1,34.950000,1.2072,79.640000,-9.600000,-651.150000
115,Exit long,2025-12-16 01:00,2954.220000,1,-89.180000,-2.9303,16.590000,-152.890000,-686.100000
115,Entry long,2025-12-15 14:45,3043.400000,1,-89.180000,-2.9303,16.590000,-152.890000,-686.100000
114,Exit long,2025-12-14 20:45,3081.220000,1,27.920000,0.9144,53.960000,-4.980000,-596.920000
114,Entry long,2025-12-14 11:45,3053.300000,1,27.920000,0.9144,53.960000,-4.980000,-596.920000
113,Exit long,2025-12-13 06:00,3085.910000,1,-100.180000,-3.1443,0.000000,-144.990000,-624.840000
113,Entry long,2025-12-12 15:15,3186.090000,1,-100.180000,-3.1443,0.000000,-144.990000,-624.840000
112,Exit long,2025-12-12 00:45,3187.610000,1,-78.040000,-2.3897,13.020000,-122.730000,-524.660000
112,Entry long,2025-12-11 00:45,3265.650000,1,-78.040000,-2.3897,13.020000,-122.730000,-524.660000
111,Exit long,2025-12-09 00:45,3118.340000,1,31.820000,1.0309,65.480000,-20.350000,-446.620000
111,Entry long,2025-12-08 18:45,3086.520000,1,31.820000,1.0309,65.480000,-20.350000,-446.620000
110,Exit long,2025-12-07 22:15,3044.000000,1,64.090000,2.1507,170.090000,-76.160000,-478.440000
110,Entry long,2025-12-07 14:15,2979.910000,1,64.090000,2.1507,170.090000,-76.160000,-478.440000
109,Exit long,2025-12-06 07:45,3024.980000,1,-63.100000,-2.0433,68.920000,-110.080000,-542.530000
109,Entry long,2025-12-05 13:30,3088.080000,1,-63.100000,-2.0433,68.920000,-110.080000,-542.530000
108,Exit long,2025-12-04 17:00,3169.300000,1,26.780000,0.8522,85.140000,-4.370000,-479.430000
108,Entry long,2025-12-04 14:45,3142.520000,1,26.780000,0.8522,85.140000,-4.370000,-479.430000
107,Exit long,2025-12-02 08:15,2787.380000,1,1.950000,0.0700,40.140000,-67.360000,-506.210000
107,Entry long,2025-12-01 15:15,2785.430000,1,1.950000,0.0700,40.140000,-67.360000,-506.210000
106,Exit long,2025-12-01 11:00,2836.000000,1,-104.280000,-3.5466,0.000000,-134.730000,-508.160000
106,Entry long,2025-12-01 00:00,2940.280000,1,-104.280000,-3.5466,0.000000,-134.730000,-508.160000
105,Exit long,2025-11-25 19:30,2906.570000,1,45.440000,1.5882,95.870000,-6.130000,-403.880000
105,Entry long,2025-11-25 14:45,2861.130000,1,45.440000,1.5882,95.870000,-6.130000,-403.880000
104,Exit long,2025-11-24 07:45,2828.770000,1,63.690000,2.3034,119.720000,-3.700000,-449.320000
104,Entry long,2025-11-24 00:15,2765.080000,1,63.690000,2.3034,119.720000,-3.700000,-449.320000
103,Exit long,2025-11-22 21:00,2738.700000,1,29.240000,1.0792,48.540000,-6.590000,-513.010000
103,Entry long,2025-11-22 10:15,2709.460000,1,29.240000,1.0792,48.540000,-6.590000,-513.010000
